# distance_m,vel_mps
0.00000,60.97496
4.99818,60.99465
9.99635,61.01408
14.99453,61.03325
19.99271,61.05218
24.99089,61.07086
29.98906,61.08930
34.98724,61.10750
39.98542,61.12546
44.98359,61.14319
49.98177,61.16069
54.97995,61.17796
59.97812,61.19501
64.97630,61.21184
69.97448,61.22845
74.97266,61.24485
79.97083,61.26104
84.96901,61.27701
89.96719,61.29279
94.96536,61.30835
99.96354,61.32372
104.96172,61.33889
109.95989,61.35387
114.95807,61.36865
119.95625,61.38324
124.95443,61.39765
129.95260,61.41187
134.95078,61.42590
139.94896,61.43976
144.94713,61.45344
149.94531,61.46694
154.94349,61.48027
159.94166,61.49344
164.93984,61.50643
169.93802,61.51925
174.93620,61.53192
179.93437,61.54442
184.93255,61.55676
189.93073,61.56894
194.92890,61.58097
199.92708,61.59284
204.92526,61.60456
209.92344,61.61613
214.92161,61.62756
219.91979,61.63884
224.91797,60.75756
229.91614,58.73713
234.91432,56.71160
239.91250,54.69911
244.91067,52.72131
249.90885,50.80119
254.90703,48.93627
259.90521,47.13428
264.90338,45.39934
269.90156,43.73905
274.89974,42.16137
279.89791,40.66055
284.89609,39.23259
289.89427,37.87730
294.89244,36.61409
299.89062,35.51773
304.88880,34.44521
309.88698,33.25524
314.88515,31.93456
319.88333,30.64199
324.88151,29.49716
329.87968,28.44124
334.87786,27.50000
339.87604,26.90000
344.87421,26.50000
349.87239,26.28441
354.87057,25.23092
359.86875,23.97403
364.86692,22.70000
369.86510,22.10000
374.86328,23.11438
379.86145,24.03064
384.85963,25.31295
389.85781,26.72904
394.85599,28.02086
399.85416,29.18403
404.85234,30.24443
409.85052,31.22043
414.84869,32.12558
419.84687,32.48060
424.84505,30.49897
429.84322,28.84057
434.84140,27.52651
439.83958,26.41044
444.83776,25.36932
449.83593,24.30000
454.83411,24.10000
459.83229,25.03125
464.83046,25.96831
469.82864,27.16442
474.82682,28.41101
479.82499,29.53843
484.82317,30.56970
489.82135,31.52140
494.81953,32.40590
499.81770,33.23272
504.81588,34.00935
509.81406,34.74184
514.81223,35.43513
519.81041,36.09331
524.80859,36.71984
529.80676,37.31764
534.80494,37.88922
539.80312,38.43677
544.80130,38.96218
549.79947,39.46711
554.79765,39.90355
559.79583,40.33159
564.79400,40.75152
569.79218,41.16363
574.79036,41.56819
579.78853,41.96543
584.78671,42.35560
589.78489,42.73892
594.78307,43.11561
599.78124,43.48125
604.77942,43.83626
609.77760,43.30000
614.77577,42.70000
619.77395,42.30000
624.77213,42.63034
629.77031,42.93137
634.76848,43.30245
639.76666,43.66263
644.76484,44.01244
649.76301,44.35241
654.76119,44.68298
659.75937,45.00460
664.75754,45.31767
669.75572,45.62256
674.75390,45.91962
679.75208,46.20917
684.75025,46.49153
689.74843,46.76698
694.74661,47.03578
699.74478,47.29820
704.74296,47.55446
709.74114,47.80480
714.73931,48.04942
719.73749,48.28853
724.73567,48.52232
729.73385,48.75097
734.73202,48.97465
739.73020,49.19352
744.72838,49.40773
749.72655,49.61744
754.72473,49.82278
759.72291,50.02389
764.72108,50.22089
769.71926,50.41392
774.71744,50.60307
779.71562,50.78847
784.71379,50.97023
789.71197,51.14843
794.71015,51.32319
799.70832,51.49460
804.70650,51.66275
809.70468,51.82772
814.70286,51.98959
819.70103,52.14846
824.69921,52.30439
829.69739,52.45746
834.69556,52.60774
839.69374,52.75530
844.69192,52.90021
849.69009,53.04254
854.68827,53.18233
859.68645,53.31966
864.68463,53.45458
869.68280,53.58716
874.68098,53.71743
879.67916,53.84546
884.67733,53.97129
889.67551,54.09498
894.67369,54.21657
899.67186,54.33611
904.67004,54.45365
909.66822,54.56922
914.66640,54.68287
919.66457,54.79465
924.66275,54.90458
929.66093,55.01271
934.65910,55.11907
939.65728,55.22371
944.65546,55.32666
949.65363,55.42795
954.65181,55.52761
959.64999,55.62569
964.64817,55.72220
969.64634,55.81718
974.64452,55.91067
979.64270,56.00268
984.64087,56.09325
989.63905,56.18241
994.63723,56.27018
999.63541,56.35659
1004.63358,56.44167
1009.63176,56.52543
1014.62994,56.60791
1019.62811,56.68913
1024.62629,56.76911
1029.62447,56.84788
1034.62264,56.92545
1039.62082,57.00185
1044.61900,57.07710
1049.61718,57.15122
1054.61535,57.22422
1059.61353,57.29614
1064.61171,57.36699
1069.60988,57.43679
1074.60806,57.50555
1079.60624,57.57330
1084.60441,57.64004
1089.60259,57.70581
1094.60077,57.77061
1099.59895,57.83447
1104.59712,57.89739
1109.59530,57.95940
1114.59348,58.02051
1119.59165,58.08073
1124.58983,58.14009
1129.58801,58.19858
1134.58618,58.25624
1139.58436,58.31307
1144.58254,58.36908
1149.58072,58.42429
1154.57889,58.47872
1159.57707,58.53237
1164.57525,58.58525
1169.57342,58.63739
1174.57160,58.68879
