# distance_m,vel_mps
0.00000,49.79053
4.99666,49.99224
9.99331,50.18983
14.98997,50.38342
19.98662,50.57313
24.98328,50.75906
29.97994,50.94134
34.97659,51.12005
39.97325,51.29531
44.96991,51.46719
49.96656,51.63581
54.96322,51.80123
59.95987,51.96356
64.95653,52.12286
69.95319,52.27921
74.94984,52.43269
79.94650,52.58338
84.94316,52.73134
89.93981,52.87663
94.93647,53.01933
99.93312,53.15950
104.92978,53.29719
109.92644,53.43246
114.92309,53.56538
119.91975,53.69599
124.91641,53.82434
129.91306,53.95050
134.90972,54.07451
139.90637,54.19641
144.90303,54.31625
149.89969,54.43409
154.89634,54.54995
159.89300,54.66389
164.88966,54.77594
169.88631,54.88614
174.88297,54.99454
179.87962,55.10117
184.87628,55.20607
189.87294,55.30927
194.86959,55.41081
199.86625,55.51071
204.86291,55.60903
209.85956,55.70577
214.85622,55.80099
219.85287,55.89470
224.84953,55.98693
229.84619,56.07773
234.84284,56.16710
239.83950,56.25508
244.83616,56.34170
249.83281,56.42698
254.82947,56.51094
259.82612,56.59362
264.82278,56.67503
269.81944,56.75520
274.81609,56.83416
279.81275,56.91191
284.80941,56.98849
289.80606,57.06392
294.80272,57.13821
299.79937,57.21139
304.79603,57.28348
309.79269,57.35450
314.78934,57.42446
319.78600,57.49338
324.78266,57.56129
329.77931,57.62819
334.77597,57.69411
339.77262,57.75907
344.76928,57.82307
349.76594,57.88614
354.76259,57.94830
359.75925,58.00955
364.75591,58.06991
369.75256,58.12940
374.74922,58.18803
379.74587,58.24582
384.74253,58.30278
389.73919,58.35893
394.73584,58.41427
399.73250,58.46882
404.72916,58.52259
409.72581,58.57560
414.72247,58.62786
419.71912,58.67938
424.71578,58.73017
429.71244,58.78024
434.70909,58.82961
439.70575,58.87828
444.70240,58.92628
449.69906,58.97360
454.69572,59.02026
459.69237,59.06626
464.68903,59.11163
469.68569,59.15637
474.68234,59.20048
479.67900,59.06212
484.67565,57.79698
489.67231,56.60941
494.66897,55.44288
499.66562,54.23445
504.66228,52.94684
509.65894,51.57133
514.65559,50.16404
519.65225,48.78264
524.64890,47.50063
529.64556,46.34040
534.64222,45.28715
539.63887,44.30836
544.63553,43.36091
549.63219,42.42446
554.62884,41.51075
559.62550,40.63497
564.62215,39.81930
569.61881,39.06950
574.61547,38.37592
579.61212,37.69621
584.60878,37.00550
589.60544,36.30000
594.60209,35.70000
599.59875,35.10000
604.59540,34.70000
609.59206,34.50000
614.58872,34.30000
619.58537,34.84343
624.58203,34.50000
